qubo_size,qubo_index,best_cost_adiabatic,best_cost_heuristic,best_cost_cplex,prob_best_adiabatic,prob_best_heuristic
5,10,0.0,0.0,0.0,,
5,11,0.0,0.0,0.0,,
5,12,0.0,0.0,0.0,,
5,13,0.0,0.0,0.0,,
5,14,0.0,0.0,0.0,,
5,15,0.0,0.0,0.0,,
5,16,0.0,0.0,0.0,,
5,17,0.0,0.0,0.0,,
5,18,0.0,0.0,0.0,,
5,19,0.0,0.0,0.0,,
5,20,0.0,0.0,0.0,,
5,22,0.0,0.0,0.0,,
5,23,0.0,0.0,0.0,,
5,21,0.0,0.0,0.0,,
5,24,0.0,0.0,0.0,,
5,25,0.0,0.0,0.0,,
5,26,0.0,0.0,0.0,,
5,27,0.0,0.0,0.0,,
5,28,0.0,0.0,0.0,,
5,29,0.0,0.0,0.0,,
5,30,0.0,0.0,0.0,,
5,31,0.0,0.0,0.0,,
5,32,0.0,0.0,0.0,,
5,33,0.0,0.0,0.0,,
5,34,0.0,0.0,0.0,,
5,35,0.0,0.0,0.0,,
5,36,0.0,0.0,0.0,,
5,37,0.0,0.0,0.0,,
5,38,0.0,0.0,0.0,,
5,40,0.0,0.0,0.0,,
5,41,0.0,0.0,0.0,,
5,42,0.0,0.0,0.0,,
5,39,0.0,0.0,0.0,,
5,43,0.0,0.0,0.0,,
5,44,0.0,0.0,0.0,,
5,45,0.0,0.0,0.0,,
5,46,0.0,0.0,0.0,,
5,47,0.0,0.0,0.0,,
5,48,0.0,0.0,0.0,,
5,49,0.0,0.0,0.0,,
5,0,-4.233848571777344,-66.71167755126953,-66.71167755126953,0.05999999865889549,0.4699999988079071
5,5,-76.05133056640625,-76.05133056640625,-76.05133056640625,0.009999999776482582,0.3700000047683716
5,6,-116.46261596679688,-116.46261596679688,-116.46261596679688,0.07000000029802322,0.3199999928474426
5,4,-62.02333068847656,-62.02333068847656,-62.02333068847656,0.009999999776482582,0.6200000047683716
5,3,33.256710052490234,-44.9127197265625,-44.9127197265625,0.009999999776482582,0.6800000071525574
5,1,-94.10400390625,-94.10400390625,-94.10400390625,0.019999999552965164,0.699999988079071
5,2,-45.175025939941406,-45.175025939941406,-45.175025939941406,0.10000000149011612,0.550000011920929
10,10,0.0,0.0,0.0,,
10,11,0.0,0.0,0.0,,
10,12,0.0,0.0,0.0,,
10,13,0.0,0.0,0.0,,
10,14,0.0,0.0,0.0,,
10,15,0.0,0.0,0.0,,
10,16,0.0,0.0,0.0,,
10,17,0.0,0.0,0.0,,
10,18,0.0,0.0,0.0,,
10,19,0.0,0.0,0.0,,
10,20,0.0,0.0,0.0,,
10,21,0.0,0.0,0.0,,
10,22,0.0,0.0,0.0,,
10,23,0.0,0.0,0.0,,
10,24,0.0,0.0,0.0,,
10,25,0.0,0.0,0.0,,
10,26,0.0,0.0,0.0,,
10,27,0.0,0.0,0.0,,
10,28,0.0,0.0,0.0,,
10,29,0.0,0.0,0.0,,
10,30,0.0,0.0,0.0,,
10,31,0.0,0.0,0.0,,
10,32,0.0,0.0,0.0,,
10,33,0.0,0.0,0.0,,
10,34,0.0,0.0,0.0,,
10,35,0.0,0.0,0.0,,
10,36,0.0,0.0,0.0,,
10,37,0.0,0.0,0.0,,
10,38,0.0,0.0,0.0,,
10,39,0.0,0.0,0.0,,
10,40,0.0,0.0,0.0,,
5,7,23.85301399230957,-29.797685623168945,-29.797685623168945,0.1899999976158142,0.6800000071525574
10,41,0.0,0.0,0.0,,
10,42,0.0,0.0,0.0,,
10,43,0.0,0.0,0.0,,
10,44,0.0,0.0,0.0,,
10,45,0.0,0.0,0.0,,
10,46,0.0,0.0,0.0,,
10,47,0.0,0.0,0.0,,
10,48,0.0,0.0,0.0,,
10,49,0.0,0.0,0.0,,
5,8,-90.03670501708984,-91.75361633300781,-91.75361633300781,0.019999999552965164,0.10000000149011612
5,9,-78.5779800415039,-80.54512786865234,-80.54512786865234,0.10000000149011612,0.3199999928474426
15,10,0.0,0.0,0.0,,
15,11,0.0,0.0,0.0,,
15,12,0.0,0.0,0.0,,
15,13,0.0,0.0,0.0,,
15,14,0.0,0.0,0.0,,
15,15,0.0,0.0,0.0,,
15,16,0.0,0.0,0.0,,
15,17,0.0,0.0,0.0,,
15,18,0.0,0.0,0.0,,
15,19,0.0,0.0,0.0,,
15,20,0.0,0.0,0.0,,
15,21,0.0,0.0,0.0,,
15,22,0.0,0.0,0.0,,
15,23,0.0,0.0,0.0,,
15,24,0.0,0.0,0.0,,
15,25,0.0,0.0,0.0,,
15,26,0.0,0.0,0.0,,
15,27,0.0,0.0,0.0,,
15,28,0.0,0.0,0.0,,
15,29,0.0,0.0,0.0,,
15,30,0.0,0.0,0.0,,
15,31,0.0,0.0,0.0,,
15,32,0.0,0.0,0.0,,
15,33,0.0,0.0,0.0,,
15,35,0.0,0.0,0.0,,
15,34,0.0,0.0,0.0,,
